gender	nationality	main_crime_age	criminal_records	main_crime_category	main_crime_is_violent	risk01_previous_violence	risk02_history_nonviolent_offences	risk03_early_violence_before_14	risk04_past_intervention_fail	risk05_self_harm_suicide_attempts	risk06_violence_at_home	risk07_childhood_mistreatment	risk08_criminal_parent_caregiver	risk09_early_separation_parents	risk10_poor_school_achievement	risk11_delinquency_peer_group	risk12_rejection_peer_group	risk13_poor_stress_coping	risk14_poor_parental_skills_parents	risk15_lack_of_personal_social_support	risk16_marginalized_environment	risk17_negative_attitudes	risk18_risk_taker_impulsive	risk19_drug_abuse	risk20_anger_management_issues	risk21_low_empaty	risk22_attention_deficit	risk23_poor_compliance_interventions	risk24_low_commitment_school	protective01_prosocial_activities	protective02_strong_social_support	protective03_strong_link_prosocial_adult	protective04_positive_attitude_interventions	protective05_high_commitment_school_or_work	protective06_perseverant_personality	average_01_antisocial	average_02_family	average_03_personality	average_04_social_support	average_05_susceptibility_treatment	sum_historic_risk_items	sum_social_risk_items	sum_individual_risk_items	sum_all_risk_items	sum_all_protective_items	professional_risk_evaluation	recidivism	recidivism_number_offences	recidividm_category_first_offence	recidivism_violence_first_offence	recidivism_severity
Male	Foreigner	14	1 or 2 criminal records	Nonviolent against property	No violent	High	Moderate	High	Low	Low	High	High	High	Low	High	Moderate	Moderate	Moderate	High	High	Low	Moderate	Moderate	Low	Moderate	High	Low	Low	Moderate	Present	Absent	Present	Present	Absent	Absent	0.857142857142857	1.5	1	1	0.714285714285714	13	7	6	26	3	Moderate	Yes	1	Others	No violent	1	
Male	Foreigner	17	0 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	High	Low	High	Moderate	High	High	Moderate	High	Moderate	Moderate	High	High	Moderate	Moderate	Absent	Absent	Absent	Absent	Present	Absent	0.428571428571429	0	1.42857142857143	1.4	1	2	9	11	22	5	High	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	1 or 2 criminal records	Against persons	Violent	Low	Low	Low	Low	High	High	High	Low	High	High	High	Moderate	Low	High	Low	Low	Moderate	Moderate	High	Moderate	High	Low	High	High	Absent	Present	Present	Absent	Absent	Absent	0.857142857142857	1.5	0.857142857142857	0.4	1.42857142857143	10	5	11	26	4	Moderate	Yes	2	Against people	Violent	3	
Male	Spanish	16	3 to 5 criminal records	Violent against property	Violent	High	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Low	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Low	Absent	Present	Present	Present	Absent	Present	0.571428571428571	0	0.571428571428571	0.2	0.571428571428571	5	3	3	11	2	Low	No	0	Not applicable	Not applicable	0	
Female	Spanish	14	3 to 5 criminal records	Against persons	Violent	High	Moderate	Low	Moderate	High	Low	Low	Moderate	Moderate	High	High	Low	High	High	High	Moderate	Moderate	High	Moderate	Moderate	High	Low	High	High	Absent	Absent	Absent	Absent	Absent	Absent	1.28571428571429	0.5	1.14285714285714	1.4	1.42857142857143	10	9	11	30	6	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	0 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Low	Moderate	Moderate	High	Moderate	Low	Low	Moderate	Low	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Absent	Present	Present	Present	Present	Present	0	1	0.857142857142857	0	0.428571428571429	5	1	6	12	1	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	3 to 5 criminal records	Others	No violent	Moderate	Moderate	Low	Low	Low	Moderate	Moderate	Low	Moderate	High	Moderate	Low	Moderate	Low	High	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Absent	Absent	Absent	Present	Absent	Absent	0.428571428571429	0.75	0.142857142857143	1	1	7	5	2	14	5	Moderate	Yes	5	Violent against property	Violent	4	
Male	Spanish	14	0 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Present	Absent	Present	Present	Present	Absent	0.285714285714286	0.5	0.714285714285714	0.6	0.428571428571429	3	4	6	13	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	More than 5 criminal records	Nonviolent against property	No violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Low	Moderate	Absent	Absent	Absent	Present	Absent	Absent	0.714285714285714	0	0.571428571428571	1	0.857142857142857	4	6	5	15	5	Moderate	Yes	3	Nonviolent against property	No violent	3	
Male	Spanish	17	3 to 5 criminal records	Nonviolent against property	No violent	High	High	Low	Moderate	Low	Low	Low	Low	High	Moderate	Moderate	Moderate	High	High	Moderate	Low	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	Low	Absent	Absent	Absent	Present	Present	Absent	1.14285714285714	0.5	1.14285714285714	1	0.428571428571429	8	7	7	22	4	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	16	1 or 2 criminal records	Violent against property	Violent	Moderate	Low	Low	Low	Moderate	Low	Low	Low	Low	Moderate	Low	Low	High	Moderate	Moderate	Low	Moderate	Low	Moderate	High	Moderate	Low	Low	Low	Present	Present	Present	Present	Absent	Present	0.428571428571429	0	0.857142857142857	0.4	0.285714285714286	3	4	5	12	1	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Nonviolent against property	No violent	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.428571428571429	1	0.285714285714286	0.4	0.142857142857143	7	3	2	12	0	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	3 to 5 criminal records	Violent against property	Violent	High	High	High	High	Low	High	Low	Low	High	High	High	Low	Moderate	Moderate	Moderate	High	Moderate	High	High	High	Moderate	Moderate	High	Moderate	Absent	Absent	Present	Absent	Absent	Absent	1.71428571428571	1	1.14285714285714	1	1.28571428571429	14	7	12	33	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	0 criminal records	Against persons	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Moderate	High	Low	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	High	Low	Low	Present	Present	Present	Present	Present	Present	0.428571428571429	0	1.14285714285714	0	0.285714285714286	3	4	6	13	0	Low	Yes	3	Others	No violent	2	
Male	Spanish	17	0 criminal records	Against persons	Violent	High	Moderate	Moderate	Moderate	Low	Low	Low	Moderate	Low	Moderate	Moderate	Low	High	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Present	Present	Present	Present	Present	Absent	0.857142857142857	0.25	0.857142857142857	0	0.285714285714286	7	3	4	14	1	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Violent against property	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	High	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Low	Absent	Absent	Absent	Absent	Absent	Absent	0.285714285714286	0	0.857142857142857	1.2	0.714285714285714	1	7	5	13	6	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	0 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	High	Low	Low	Low	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Absent	Present	Present	Present	Present	Absent	0.142857142857143	0.25	0	0.2	0.571428571428571	3	1	1	5	2	Low	Yes	1	Violent against property	Violent	3	
Male	Foreigner	16	1 or 2 criminal records	Violent against property	Violent	High	Moderate	Low	Low	Low	Moderate	Low	Moderate	Moderate	High	High	Low	Moderate	High	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	High	Absent	Present	Present	Present	Absent	Absent	0.857142857142857	0.75	0.714285714285714	0.8	1.14285714285714	8	7	8	23	3	Moderate	Yes	1	Violent against property	Violent	3	
Male	Spanish	17	3 to 5 criminal records	Nonviolent against property	No violent	Moderate	High	Low	Low	Low	Moderate	Moderate	High	High	High	Moderate	Low	Low	High	High	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Absent	Absent	Absent	Present	Present	Absent	0.571428571428571	1.5	0	1.4	0.571428571428571	11	6	0	17	4	Low	Yes	1	Others	No violent	1	
Male	Foreigner	17	1 or 2 criminal records	Violent against property	Violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Low	Absent	Present	Present	Present	Present	Absent	0.142857142857143	0	0.285714285714286	0	0.571428571428571	2	1	2	5	2	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	1 or 2 criminal records	Nonviolent against property	No violent	Moderate	High	Low	Low	Low	Low	Low	Moderate	Moderate	High	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Absent	Present	Present	Present	Present	Present	0.428571428571429	0.5	0	0	0.428571428571429	7	0	0	7	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	0 criminal records	Against persons	Violent	Low	Low	Low	Moderate	Moderate	High	High	Moderate	High	Moderate	Low	Low	Low	High	Moderate	Low	Low	Low	Moderate	Low	Moderate	Moderate	Low	Moderate	Absent	Absent	Absent	Present	Absent	Present	0.428571428571429	1.75	0.285714285714286	1	0.571428571428571	10	3	4	17	4	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	16	1 or 2 criminal records	Against persons	Violent	Low	Moderate	Low	Low	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.285714285714286	0.75	0.714285714285714	0.2	0.142857142857143	5	2	5	12	0	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Moderate	Moderate	Moderate	Low	High	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Absent	0	0.75	0.142857142857143	0	0.428571428571429	5	1	0	6	1	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	3 to 5 criminal records	Violent against property	Violent	High	Low	High	Low	Low	Low	Low	Low	Low	High	High	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	High	Moderate	Low	Low	Moderate	Absent	Present	Absent	Present	Absent	Absent	1	0	0.857142857142857	0.6	0.857142857142857	6	5	7	18	4	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	0 criminal records	Violent against property	Violent	High	Moderate	Low	Low	Low	High	High	Low	High	High	High	Low	Low	High	High	Moderate	Moderate	Moderate	Moderate	Moderate	High	Low	Moderate	High	Absent	Absent	Absent	Present	Absent	Absent	0.857142857142857	1.5	0.714285714285714	1.4	1.14285714285714	11	7	9	27	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	3 to 5 criminal records	Violent against property	Violent	Moderate	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Moderate	Low	Low	Low	Moderate	Moderate	Moderate	Moderate	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.714285714285714	0	0.571428571428571	0	0	3	2	4	9	0	Moderate	Yes	3	Nonviolent against property	No violent	2	
Male	Foreigner	17	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Absent	Present	Absent	Present	Present	Absent	0.285714285714286	0.25	0.571428571428571	0.8	0.428571428571429	3	6	2	11	3	Moderate	No	0	Not applicable	Not applicable	0	
Female	Spanish	15	0 criminal records	Others	No violent	Moderate	Low	Low	Low	Low	High	High	Low	High	Moderate	Moderate	Low	Moderate	High	Low	Moderate	Low	Moderate	Low	High	Low	Low	Low	Moderate	Absent	Present	Present	Present	Present	Present	0.285714285714286	1.5	0.571428571428571	0.6	0.428571428571429	8	5	4	17	1	Low	No	0	Not applicable	Not applicable	0	
Female	Spanish	14	3 to 5 criminal records	Violent against property	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Moderate	Low	Moderate	High	Low	Moderate	Moderate	Low	High	Moderate	High	Moderate	High	Moderate	Moderate	Moderate	Moderate	Present	Present	Present	Absent	Present	Absent	0.714285714285714	0.25	1.14285714285714	0.6	0.714285714285714	4	6	10	20	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	0 criminal records	Against persons	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Present	Present	Present	Present	Absent	Absent	0.428571428571429	0	0.142857142857143	0	0.857142857142857	4	2	2	8	2	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	16	1 or 2 criminal records	Against persons	Violent	Moderate	Moderate	High	Low	Low	Low	Moderate	Moderate	High	High	Moderate	Low	High	High	Moderate	Low	Low	Moderate	High	Moderate	High	Low	Moderate	Low	Absent	Absent	Absent	Absent	Absent	Absent	1	1	0.857142857142857	1	1	10	6	7	23	6	Moderate	Yes	1	Nonviolent against property	No violent	1	
Male	Foreigner	15	3 to 5 criminal records	Others	No violent	High	Moderate	High	Moderate	Low	High	Low	Low	Moderate	Moderate	High	Low	Moderate	Moderate	Moderate	Low	Moderate	High	High	High	High	Moderate	High	High	Absent	Absent	Absent	Absent	Absent	Absent	1.42857142857143	0.75	1.28571428571429	0.8	1.28571428571429	10	5	14	29	6	High	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	1 or 2 criminal records	Against persons	Violent	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Low	Moderate	High	Low	High	High	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	High	Moderate	High	High	Absent	Absent	Absent	Absent	Absent	Absent	0.428571428571429	0.75	1.42857142857143	0.8	1.42857142857143	8	6	10	24	6	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	1 or 2 criminal records	Others	No violent	Moderate	Moderate	Low	Low	Low	Moderate	Moderate	Moderate	Low	High	Moderate	Low	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Low	Low	Low	Low	Absent	Present	Absent	Present	Present	Present	0.571428571428571	0.75	0.285714285714286	0.6	0.428571428571429	7	3	3	13	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Against persons	Violent	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Moderate	Low	Low	Low	High	Low	Moderate	Moderate	Low	High	Low	Low	Present	Present	Present	Present	Present	Present	0.285714285714286	0	0.857142857142857	0	0.142857142857143	2	1	6	9	0	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	14	3 to 5 criminal records	Nonviolent against property	No violent	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Present	Present	Present	Present	Absent	Absent	0.428571428571429	0	0.857142857142857	0.8	0.571428571428571	3	6	6	15	2	Moderate	Yes	4	Violent against property	Violent	4	
Male	Foreigner	16	3 to 5 criminal records	Violent against property	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	High	Low	Low	Moderate	Moderate	Low	Moderate	High	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Absent	Absent	Absent	Present	Absent	Absent	0.714285714285714	0	0.857142857142857	0.8	0.857142857142857	4	4	8	16	5	High	Yes	2	Violent against property	Violent	3	
Male	Foreigner	14	1 or 2 criminal records	Against persons	Violent	Moderate	Low	Low	Moderate	Low	Low	Low	Low	Moderate	High	Low	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	High	Absent	Absent	Absent	Present	Absent	Absent	0.285714285714286	0.25	0.857142857142857	0.8	1.14285714285714	5	4	7	16	5	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	3 to 5 criminal records	Nonviolent against property	No violent	Moderate	Low	Moderate	Low	Low	Low	Moderate	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.285714285714286	0.5	0	0	0.142857142857143	5	0	0	5	0	Low	No	0	Not applicable	Not applicable	0	
Female	Spanish	15	3 to 5 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Moderate	Moderate	Low	Low	Low	Low	Low	Present	Present	Present	Present	Present	Present	0.142857142857143	0.25	0.142857142857143	0.2	0	1	1	2	4	0	Low	No	0	Not applicable	Not applicable	0	
Female	Spanish	14	0 criminal records	Against persons	Violent	Moderate	Moderate	Low	High	Low	High	High	Low	Moderate	High	Moderate	Moderate	Moderate	High	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Absent	Absent	Absent	Present	Present	Absent	0.857142857142857	1.25	0.857142857142857	1	0.714285714285714	11	6	6	23	4	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	17	3 to 5 criminal records	Nonviolent against property	No violent	Low	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Low	Moderate	Low	Low	Present	Present	Present	Present	Present	Present	0.285714285714286	0.25	0.714285714285714	0.2	0	2	3	4	9	0	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	16	1 or 2 criminal records	Against persons	Violent	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	High	Low	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	High	Absent	Present	Present	Present	Absent	Absent	0.428571428571429	0	0.857142857142857	0.2	1	4	2	8	14	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	14	1 or 2 criminal records	Nonviolent against property	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Low	High	Moderate	Low	Low	Moderate	Low	Moderate	Low	High	High	Moderate	Low	High	Low	Moderate	Present	Present	Present	Present	Present	Present	0.428571428571429	0	0.714285714285714	0.4	0.428571428571429	2	3	8	13	0	Low	Yes	1	Against people	Violent	1	
Male	Spanish	16	1 or 2 criminal records	Against persons	Violent	High	High	Moderate	Low	Low	High	High	High	Moderate	High	High	Low	High	High	High	Low	High	High	Low	High	High	Low	Low	High	Absent	Absent	Absent	Present	Absent	Absent	1	1.75	1.42857142857143	1.2	1	14	8	10	32	5	High	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	1 or 2 criminal records	Violent against property	Violent	Moderate	High	Low	Moderate	Low	Low	Low	High	Low	High	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Absent	Present	Present	Absent	Present	Absent	0.857142857142857	0.5	0.714285714285714	0.6	0.857142857142857	8	5	6	19	3	Moderate	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	0 criminal records	Others	No violent	Low	Low	Low	Low	Low	Low	Low	Low	Moderate	Moderate	Low	Low	Moderate	High	Moderate	Low	Low	Low	Low	Moderate	Low	Low	Low	High	Absent	Absent	Absent	Present	Absent	Absent	0	0.25	0.285714285714286	1	0.857142857142857	2	4	3	9	5	Low	No	0	Not applicable	Not applicable	0	
Female	Spanish	14	1 or 2 criminal records	Violent against property	Violent	Moderate	Low	Low	Low	High	High	Moderate	Moderate	Moderate	Moderate	Low	Low	High	High	Moderate	Moderate	Low	Low	Low	Low	Low	Low	Low	Low	Absent	Absent	Present	Present	Present	Present	0.428571428571429	1.25	0.285714285714286	1	0.285714285714286	9	6	0	15	2	Low	No	0	Not applicable	Not applicable	0	
Male	Spanish	15	More than 5 criminal records	Violent against property	Violent	High	Low	Low	High	Low	Moderate	Moderate	Moderate	High	High	Low	Low	Low	Moderate	Moderate	High	Low	Low	Low	Low	Low	Low	Low	Low	Absent	Absent	Absent	Present	Present	Absent	0.571428571428571	1.25	0	1.2	0.571428571428571	11	4	0	15	4	Low	No	0	Not applicable	Not applicable	0	
Female	Spanish	15	1 or 2 criminal records	Against persons	Violent	Low	Low	Low	Low	Low	Moderate	Low	Low	Low	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Low	High	Low	Moderate	Absent	Present	Present	Present	Absent	Present	0	0.25	0.857142857142857	0.4	0.571428571428571	2	3	6	11	2	Low	No	0	Not applicable	Not applicable	0	
Male	Foreigner	15	3 to 5 criminal records	Violent against property	Violent	Moderate	High	Low	Moderate	Low	Moderate	High	Low	Low	High	High	Moderate	Moderate	High	High	Moderate	Moderate	High	High	Moderate	Moderate	High	Low	High	Absent	Absent	Absent	Absent	Absent	Absent	1.14285714285714	0.75	1.28571428571429	1.4	1.14285714285714	9	9	11	29	6	High	Yes	3	Nonviolent against property	No violent	2	
Male	Foreigner	15	1 or 2 criminal records	Against persons	Violent	High	Low	Low	Low	High	Moderate	Moderate	Low	Low	Low	Low	Low	High	Moderate	Low	Low	Moderate	Moderate	Low	Moderate	Low	Low	Low	High	Present	Present	Present	Present	Absent	Absent	0.571428571428571	0.5	0.714285714285714	0.2	0.571428571428571	6	3	5	14	2	Moderate	No	0	Not applicable	Not applicable	0	
Male	Spanish	17	0 criminal records	Against persons	Violent	Low	Moderate	Low	Low	Low	Moderate	Moderate	Low	Low	High	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	High	High	Moderate	Moderate	Moderate	Moderate	Present	Absent	Absent	Present	Present	Absent	0.571428571428571	0.5	1.14285714285714	0.8	0.714285714285714	5	5	10	20	3	Moderate	No	0	Not applicable	Not applicable	0	
